Issue Date and Time,State,Plate ID,Division,Location,Location Standardized,Coordinates,Violation Description,Fine,Issuing Agency,Violation Location
10/19/2012 12:00:00 AM,PA,1271241,12,2200 S 67TH,"2200 S 67TH ST, 19142","(39.923261373,-75.2362840938)",PARKING PROHIBITED,$31.00,POLICE,"(39.923261373, -75.2362840938)"
05/16/2012 12:40:00 PM,PA,1172533,06,854 N 13TH,"854 N 13TH ST, 19123","(39.9693857573,-75.1576879173)",BLOCKING DRIVEWAY,$41.00,POLICE,"(39.9693857573, -75.1576879173)"
06/07/2012 02:20:00 PM,TX,1720761,61,622 N 12TH,"622 N 12TH ST, 19123","(39.9643128453,-75.1571734998)",BLOCKING DRIVEWAY,$41.00,POLICE,"(39.9643128453, -75.1571734998)"
06/07/2012 02:20:00 PM,PA,1203500,61,622 N 12TH,"622 N 12TH ST, 19123","(39.9643128453,-75.1571734998)",BLOCKING DRIVEWAY,$41.00,POLICE,"(39.9643128453, -75.1571734998)"
06/07/2012 02:20:00 PM,PA,1073940,06,631 N 12TH,"631 N 12TH ST, 19123","(39.9638291618,-75.1572794315)",DOUBLE PARKED,$51.00,POLICE,"(39.9638291618, -75.1572794315)"
10/15/2012 02:45:00 PM,CA,6250,06,1001 VINE,"1001 VINE ST, 19107","(39.9573040588,-75.1562778703)",PRIVATE PROPERTY,$26.00,POLICE,"(39.9573040588, -75.1562778703)"
10/15/2012 02:49:00 PM,PA,728476,06,1001 VINE ST,"1001 VINE ST, 19107","(39.9573040588,-75.1562778703)",PRIVATE PROPERTY,$26.00,POLICE,"(39.9573040588, -75.1562778703)"
10/16/2012 10:00:00 AM,PA,636772,06,417 N 8TH ST,"417 N 8TH ST, 19123","(39.9600685916,-75.1518317442)",PRIVATE PROPERTY,$26.00,POLICE,"(39.9600685916, -75.1518317442)"
10/16/2012 01:40:00 PM,PA,1202216,06,6TH BROWN,"6 BROWN ST, 19123","(39.9622210021,-75.1378350387)",CROSSWALK,$41.00,POLICE,"(39.9622210021, -75.1378350387)"
11/01/2012 06:38:00 PM,PA,1025368,06,800 N 2ND ST,"800 N 2ND ST, 19123","(39.9635446313,-75.1408327233)",BLOCKING DRIVEWAY,$41.00,POLICE,"(39.9635446313, -75.1408327233)"
12/02/2012 09:20:00 AM,PA,588482,61,705 N 5TH,"705 N 5TH ST, 19123","(39.963458985,-75.1466299373)",PARKING PROHIBITED,$31.00,POLICE,"(39.963458985, -75.1466299373)"
09/12/2012 09:03:00 PM,PA,1269859,35,6TH LINDLEY,,,EXPIRED INSPECTION,$41.00,POLICE,
09/13/2012 06:53:00 PM,PA,557377,35,5247 7TH,,,EXPIRED INSPECTION,$41.00,POLICE,
09/18/2012 11:05:00 AM,PA,1644931,35,RUSCUM & CAMAC,,,EXPIRED INSPECTION,$41.00,POLICE,
09/18/2012 11:06:00 AM,PA,654591,35,RUSCUM & CAMAC,,,EXPIRED INSPECTION,$41.00,POLICE,
09/24/2012 07:15:00 PM,PA,760458,35,4906 HUTCHIN,,,HP RESERVED SPACE,$301.00,POLICE,
09/26/2012 05:50:00 PM,PA,729291,35,5025 MARVINE,"5025 N MARVINE ST, 19141","(40.0293003814,-75.1421687807)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0293003814, -75.1421687807)"
10/03/2012 03:44:00 PM,PA,711653,35,6249 GRATZ,"6249 N GRATZ ST, 19141","(40.0491795711,-75.1497861281)",HP RESERVED SPACE,$301.00,POLICE,"(40.0491795711, -75.1497861281)"
10/05/2012 10:50:00 AM,PA,1279835,35,1111 LINDLEY,"1111 LINDLEY AVE, 19141","(40.030007876,-75.141613227)",EXPIRED INSPECTION,$41.00,POLICE,"(40.030007876, -75.141613227)"
10/05/2012 01:11:00 PM,PA,1096030,35,4943 5TH ST,"4943 N 5TH ST, 19120","(40.0265298416,-75.1326747799)",HP RESERVED SPACE,$301.00,POLICE,"(40.0265298416, -75.1326747799)"
09/06/2012 10:30:00 AM,PA,1261219,35,6000 MASHER,"6000 MASCHER ST, 19120","(40.0419271074,-75.1220237849)",DOUBLE PARKED,$51.00,POLICE,"(40.0419271074, -75.1220237849)"
02/18/2012 05:15:00 AM,PA,983548,35,6700 N BROAD,"6700 N BROAD ST, 19126","(40.0559178654,-75.1410416464)",STOP MEDIAL STRIP 45,$31.00,POLICE,"(40.0559178654, -75.1410416464)"
02/28/2012 03:30:00 AM,PA,893870,35,269 ROSEMAR,"269 ROSEMAR ST, 19120","(40.0440954313,-75.1247789558)",SIDEWALK,$41.00,POLICE,"(40.0440954313, -75.1247789558)"
03/12/2012 01:34:00 AM,PA,1076732,35,100 LINTON,"100 LINTON ST, 19120","(40.0410203999,-75.1212815439)",CROSSWALK,$41.00,POLICE,"(40.0410203999, -75.1212815439)"
03/17/2012 05:30:00 AM,PA,1197472,35,146 W GODFRE,,,HP RESERVED SPACE,$301.00,POLICE,
03/17/2012 05:30:00 AM,PA,505187,35,146 W GODFRE,,,DOUBLE PARKED,$51.00,POLICE,
03/28/2012 02:10:00 AM,PA,793209,35,206 SPARKS ST,"206 SPARKS ST, 19120","(40.0445831539,-75.1246959768)",SIDEWALK,$41.00,POLICE,"(40.0445831539, -75.1246959768)"
03/28/2012 02:12:00 AM,PA,539639,35,246 SPARKS ST,"246 SPARKS ST, 19120","(40.0445831539,-75.1246959768)",SIDEWALK,$41.00,POLICE,"(40.0445831539, -75.1246959768)"
03/28/2012 02:15:00 AM,PA,1197109,35,248 SPARKS ST,"248 SPARKS ST, 19120","(40.0445831539,-75.1246959768)",SIDEWALK,$41.00,POLICE,"(40.0445831539, -75.1246959768)"
03/28/2012 02:18:00 AM,PA,1122406,35,262 SPARKS ST,"262 SPARKS ST, 19120","(40.0445831539,-75.1246959768)",SIDEWALK,$41.00,POLICE,"(40.0445831539, -75.1246959768)"
03/28/2012 02:21:00 AM,PA,997939,35,191 ROSEMAR,"191 ROSEMAR ST, 19120","(40.0438174997,-75.1226765868)",SIDEWALK,$41.00,POLICE,"(40.0438174997, -75.1226765868)"
03/28/2012 02:25:00 AM,PA,893870,35,267 ROSEMAR,"267 ROSEMAR ST, 19120","(40.0440954313,-75.1247789558)",SIDEWALK,$41.00,POLICE,"(40.0440954313, -75.1247789558)"
03/28/2012 02:28:00 AM,DE,33052,35,251 ROSEMAR,"251 ROSEMAR ST, 19120","(40.0440954313,-75.1247789558)",SIDEWALK,$41.00,POLICE,"(40.0440954313, -75.1247789558)"
03/28/2012 02:30:00 AM,PA,624676,35,209 ROSEMAR,"209 ROSEMAR ST, 19120","(40.0440954313,-75.1247789558)",SIDEWALK,$41.00,POLICE,"(40.0440954313, -75.1247789558)"
03/28/2012 02:53:00 AM,PA,1125577,35,198 ROSELYN,"198 ROSELYN ST, 19120","(40.0423101695,-75.1229381942)",SIDEWALK,$41.00,POLICE,"(40.0423101695, -75.1229381942)"
03/28/2012 02:58:00 AM,PA,974470,35,143 WINENER,,,SIDEWALK,$41.00,POLICE,
03/31/2012 06:00:00 AM,PA,548955,35,1501 KINGSDA,,,BLOCKING DRIVEWAY,$41.00,POLICE,
04/07/2012 03:25:00 AM,PA,817478,35,5047 FRANKLI,,,SIDEWALK,$41.00,POLICE,
04/16/2012 05:02:00 AM,PA,1218847,35,6731 N CARLI,,,SIDEWALK,$41.00,POLICE,
04/16/2012 05:05:00 AM,PA,634001,35,6727 N CARLI,,,SIDEWALK,$41.00,POLICE,
04/16/2012 05:07:00 AM,PA,1212047,35,6700 N CARLI,,,SIDEWALK,$41.00,POLICE,
04/16/2012 05:10:00 AM,PA,569151,35,6739 N SMEDL,,,SIDEWALK,$41.00,POLICE,
07/13/2012 04:50:00 AM,PA,817478,35,5047 FRANKLI,,,SIDEWALK,$41.00,POLICE,
08/27/2012 02:10:00 AM,PA,937479,35,155 E GODFRE,,,PRIVATE PROPERTY,$26.00,POLICE,
09/30/2014 10:25:00 AM,PA,1281337,35,1858 CHAMPLO,,,EXPIRED INSPECTION,$41.00,POLICE,
09/30/2014 10:15:00 AM,PA,1102576,35,5900 20TH,"5900 N 20TH ST, 19138","(40.0441367147,-75.1538535615)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0441367147, -75.1538535615)"
09/30/2014 10:15:00 AM,PA,1371630,35,5900 N 20TH,"5900 N 20TH ST, 19138","(40.0441367147,-75.1538535615)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0441367147, -75.1538535615)"
10/01/2014 10:30:00 AM,PA,712675,35,4910 N 11TH,"4910 N 11TH ST, 19141","(40.0277001572,-75.1417189013)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0277001572, -75.1417189013)"
10/01/2014 01:30:00 AM,PA,950388,35,4800 N 11TH,"4800 N 11TH ST, 19141","(40.0262053926,-75.1420432435)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0262053926, -75.1420432435)"
10/01/2014 11:10:00 AM,PA,687047,35,4500 N GRATZ,"4500 N GRATZ ST, 19140","(40.0231455236,-75.1555551297)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0231455236, -75.1555551297)"
10/01/2014 11:20:00 AM,PA,1366755,35,1735 W WINGO,,,EXPIRED INSPECTION,$41.00,POLICE,
10/02/2014 11:10:00 AM,PA,1377802,00,302 WELLENS,"302 W WELLENS ST, 19120","(40.0311633554,-75.1301809924)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0311633554, -75.1301809924)"
10/02/2014 12:00:00 AM,PA,1608435,35,5221 N 3RD ST,"5221 N 3RD ST, 19120","(40.0304634825,-75.128863937)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0304634825, -75.128863937)"
10/08/2014 04:49:00 PM,PA,1155628,35,GRATZ & COURTL,,,EXPIRED INSPECTION,$41.00,POLICE,
10/08/2014 04:55:00 PM,PA,904557,00,4535 N GRATZ,"4535 N GRATZ ST, 19140","(40.0231455236,-75.1555551297)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0231455236, -75.1555551297)"
10/08/2014 05:30:00 PM,PA,849866,35,1801 W WINGO,,,EXPIRED INSPECTION,$41.00,POLICE,
10/08/2014 05:25:00 PM,PA,1366755,00,1801 W WINGO,,,EXPIRED INSPECTION,$41.00,POLICE,
10/29/2014 10:50:00 AM,PA,1246121,00,5324 N 15TH,"5324 N 15TH ST, 19141","(40.0347096691,-75.1473654115)",EXPIRED INSPECTION,$41.00,POLICE,"(40.0347096691, -75.1473654115)"
06/07/2012 01:15:00 PM,PA,916710,52,1000 PATTISO,"1000 PATTISON AVE, 19148","(39.9044920802,-75.1665798572)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9044920802, -75.1665798572)"
12/08/2012 10:10:00 AM,PA,1012656,52,1000 PATTISO,"1000 PATTISON AVE, 19148","(39.9044920802,-75.1665798572)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9044920802, -75.1665798572)"
08/26/2013 07:50:00 AM,PA,1402551,52,317 W ROOSEV,"317 W ROOSEVELT BLVD, 19120","(40.0248547044,-75.1298551601)",STOPPING PROHIBITED,$41.00,POLICE,"(40.0248547044, -75.1298551601)"
09/04/2013 07:15:00 PM,FL,71559,52,3600 DARIENS,,,PARKING PROHIBITED,$31.00,POLICE,
09/04/2013 07:16:00 PM,PA,721908,52,3600 DARIEN,"3600 S DARIEN ST, 19148","(39.9019145845,-75.1651520817)",PARKING PROHIBITED,$31.00,POLICE,"(39.9019145845, -75.1651520817)"
09/04/2013 07:25:00 PM,PA,1374977,52,3600 DARIEN,"3600 S DARIEN ST, 19148","(39.9019145845,-75.1651520817)",PARKING PROHIBITED,$31.00,POLICE,"(39.9019145845, -75.1651520817)"
06/01/2014 01:55:00 PM,NJ,364955,52,6064 RIDGE A,,,STOPPING PROHIBITED,$51.00,POLICE,
08/13/2014 09:04:00 PM,MD,116643,52,3600 S 11TH,"3600 S 11TH ST, 19148","(39.9039453287,-75.1687049186)",PARKING PROHIBITED,$31.00,POLICE,"(39.9039453287, -75.1687049186)"
08/13/2014 09:08:00 PM,PA,1486039,52,3600 S 11TH,"3600 S 11TH ST, 19148","(39.9039453287,-75.1687049186)",PARKING PROHIBITED,$31.00,POLICE,"(39.9039453287, -75.1687049186)"
08/13/2014 09:11:00 PM,PA,1504087,52,3600 S 11TH,"3600 S 11TH ST, 19148","(39.9039453287,-75.1687049186)",PARKING PROHIBITED,$31.00,POLICE,"(39.9039453287, -75.1687049186)"
08/13/2014 09:30:00 PM,NJ,173423,00,1000 W PATTI,,,STOPPING PROHIBITED,$51.00,POLICE,
08/13/2014 09:30:00 PM,NJ,301489,00,1000 W PATTI,,,STOPPING PROHIBITED,$51.00,POLICE,
08/13/2014 09:32:00 PM,PA,534531,00,1000 W PATTI,,,STOPPING PROHIBITED,$51.00,POLICE,
05/09/2012 02:22:00 AM,PA,719064,00,LINCOLN & GYPS,,,STOPPING PROHIBITED,$41.00,POLICE,
06/24/2012 01:05:00 AM,PA,511438,03,WATERWORKS ST,,,STOPPING PROHIBITED,$41.00,POLICE,
06/24/2012 01:05:00 AM,PA,1008998,03,WATER WORKS &,,,STOPPING PROHIBITED,$41.00,POLICE,
06/24/2012 01:05:00 AM,PA,872855,03,WATER WORKS,,,STOPPING PROHIBITED,$41.00,POLICE,
06/24/2012 01:10:00 AM,PA,915152,03,WATER WORKS,,,STOPPING PROHIBITED,$41.00,POLICE,
06/24/2012 01:10:00 AM,PA,918853,03,WATERWORKS,,,EXPIRED INSPECTION,$41.00,POLICE,
06/24/2012 01:20:00 AM,PA,1108122,03,WATERWORKS,,,PARKING PROHIBITED,$31.00,POLICE,
07/03/2012 10:39:00 AM,PA,1146894,03,100 N 6TH ST,"100 N 6TH ST, 19106","(39.9517470321,-75.1501513448)",DOUBLE PARKED,$51.00,POLICE,"(39.9517470321, -75.1501513448)"
07/21/2012 02:25:00 PM,PA,748550,09,1617 JFK BLV,"1617 JFK BLV, 19103","(39.9539027442,-75.1674161393)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9539027442, -75.1674161393)"
07/21/2012 02:25:00 PM,PA,665936,09,1617 JFK BLV,"1617 JFK BLV, 19103","(39.9539027442,-75.1674161393)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9539027442, -75.1674161393)"
01/28/2012 11:23:00 AM,DE,64639,56,3600 S BROAD,"3600 S BROAD ST, 19145","(39.9046404121,-75.1743080317)",BLOCKING DRIVEWAY,$41.00,POLICE,"(39.9046404121, -75.1743080317)"
06/28/2013 07:27:00 PM,PA,1020943,00,4103 UNRUH A,,,BLOCKING DRIVEWAY,$41.00,POLICE,
09/06/2013 10:25:00 PM,PA,1646531,56,2428 W ALLEG,,,BLOCKING DRIVEWAY,$41.00,POLICE,
01/28/2012 01:32:00 PM,PA,1181474,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
01/31/2012 02:50:00 PM,PA,1147299,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/13/2012 04:48:00 PM,PA,626059,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/17/2012 02:32:00 PM,PA,593723,52,LOT 12 LINCO,,,PARKING PROHIBITED,$31.00,POLICE,
02/17/2012 03:48:00 PM,MD,146191,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/18/2012 02:50:00 PM,PA,1056939,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/18/2012 02:53:00 PM,PA,1126544,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/18/2012 03:37:00 PM,PA,1058361,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/18/2012 03:51:00 PM,PA,999689,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/19/2012 11:37:00 AM,PA,631403,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/20/2012 11:19:00 AM,PA,921910,05,LINCOLN & &FOR,,,PARKING PROHIBITED,$31.00,POLICE,
02/20/2012 11:21:00 AM,PA,1029539,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/20/2012 12:02:00 PM,PA,863702,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
02/20/2012 12:45:00 PM,NC,168157,05,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
03/03/2012 04:12:00 PM,PA,1236325,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
03/03/2012 05:00:00 PM,PA,776538,52,LINCOLN & FORB,,,PARKING PROHIBITED,$31.00,POLICE,
01/16/2012 07:40:00 PM,PA,1660567,52,400 GURNEY ST,,,SIDEWALK,$41.00,POLICE,
01/16/2012 07:48:00 PM,PA,1608578,52,2800 N 3RD ST,"2800 N 3RD ST, 19133","(39.9940537645,-75.1368313205)",SIDEWALK,$41.00,POLICE,"(39.9940537645, -75.1368313205)"
01/16/2012 07:54:00 PM,PA,791827,52,300 CAMBRIA,"300 W CAMBRIA ST, 19133","(39.9948336805,-75.1369226069)",SIDEWALK,$41.00,POLICE,"(39.9948336805, -75.1369226069)"
01/16/2012 07:58:00 PM,PA,1665786,52,3000 N 3RD ST,"3000 N 3RD ST, 19133","(39.9964831062,-75.1363023563)",SIDEWALK,$41.00,POLICE,"(39.9964831062, -75.1363023563)"
01/16/2012 08:05:00 PM,PA,1652783,52,2900 N 4TH ST,"2900 N 4TH ST, 19133","(39.9956760194,-75.1375105758)",SIDEWALK,$41.00,POLICE,"(39.9956760194, -75.1375105758)"
02/12/2012 04:40:00 PM,PA,1163873,52,2400 PENNSYL,"2400 PENNSYLVANIA AVE, 19130","(39.9656450491,-75.1777729695)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9656450491, -75.1777729695)"
02/12/2012 04:45:00 PM,PA,1656397,52,2500 PENNSYL,"2500 PENNSYLVANIA AVE, 19130","(39.9670232696,-75.1792493112)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9670232696, -75.1792493112)"
02/12/2012 04:48:00 PM,PA,924078,52,2500 PENNSYL,"2500 PENNSYLVANIA AVE, 19130","(39.9670232696,-75.1792493112)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9670232696, -75.1792493112)"
02/12/2012 04:51:00 PM,PA,912501,52,2500 PENNSYL,"2500 PENNSYLVANIA AVE, 19130","(39.9670232696,-75.1792493112)",STOPPING PROHIBITED,$41.00,POLICE,"(39.9670232696, -75.1792493112)"
02/18/2012 05:29:00 PM,PA,1085951,52,30 W LEHIGH,,,DISPLAY VEH FOR SALE,$301.00,POLICE,
02/18/2012 05:40:00 PM,PA,1648024,52,521 W LEHIGH,"521 W LEHIGH AVE, 19133","(39.9921315783,-75.1405309473)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9921315783, -75.1405309473)"
02/18/2012 05:49:00 PM,PA,763339,52,801 W LEHIGH,"801 W LEHIGH AVE, 19133","(39.9927507115,-75.1453567218)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9927507115, -75.1453567218)"
02/18/2012 06:00:00 PM,PA,1142047,52,300 SOMERSET,"300 W SOMERSET ST, 19133","(39.9933406332,-75.1372434958)",EXPIRED INSPECTION,$41.00,POLICE,"(39.9933406332, -75.1372434958)"
02/01/2012 08:32:00 AM,PA,803125,25,300 E WESTMO,,,PRIVATE PROPERTY,$26.00,POLICE,
02/01/2012 11:34:00 AM,PA,1642014,25,300 E WESTMO,,,PRIVATE PROPERTY,$26.00,POLICE,
02/20/2012 10:52:00 AM,PA,1061581,25,3400 ORIANNA,"3400 N ORIANNA ST, 19140","(40.0031300621,-75.1354825068)",DOUBLE PARKED,$51.00,POLICE,"(40.0031300621, -75.1354825068)"
02/20/2012 10:54:00 AM,PA,1175870,25,3400 ORRIANN,,,DOUBLE PARKED,$51.00,POLICE,
02/21/2012 08:12:00 AM,PA,1565729,25,3200 KIP,"3200 KIP ST, 19134","(39.9986724299,-75.1259919122)",SIDEWALK,$41.00,POLICE,"(39.9986724299, -75.1259919122)"
02/23/2012 09:50:00 AM,PA,1134374,25,3200 B ST,"3200 B ST, 19134","(39.9988371835,-75.1252203753)",PARKING PROHIBITED,$31.00,POLICE,"(39.9988371835, -75.1252203753)"
03/13/2012 11:01:00 AM,PA,1184116,25,3200 KIP ST,"3200 KIP ST, 19134","(39.9986724299,-75.1259919122)",SIDEWALK,$41.00,POLICE,"(39.9986724299, -75.1259919122)"
03/13/2012 11:05:00 AM,PA,1203565,25,200 E WILLAR,,,SIDEWALK,$41.00,POLICE,
03/19/2012 10:47:00 AM,PA,1184183,25,3200 KIP ST,"3200 KIP ST, 19134","(39.9986724299,-75.1259919122)",SIDEWALK,$41.00,POLICE,"(39.9986724299, -75.1259919122)"
04/09/2012 09:13:00 AM,PA,1155143,25,3200 KIP,"3200 KIP ST, 19134","(39.9986724299,-75.1259919122)",SIDEWALK,$41.00,POLICE,"(39.9986724299, -75.1259919122)"
04/27/2012 08:21:00 AM,PA,1205560,25,3200 KIP ST,"3200 KIP ST, 19134","(39.9986724299,-75.1259919122)",SIDEWALK,$41.00,POLICE,"(39.9986724299, -75.1259919122)"
05/01/2012 10:42:00 AM,PA,1468542,25,151 W LUZERN,,,STOPPING PROHIBITED,$41.00,POLICE,
05/07/2012 10:35:00 AM,PA,1141972,25,200 E WESTMO,,,STOPPING PROHIBITED,$41.00,POLICE,
05/21/2012 10:33:00 AM,PA,913200,25,200 E WESTMO,,,PARKING PROHIBITED,$31.00,POLICE,
05/21/2012 02:02:00 PM,PA,590435,25,3200 KIP ST,"3200 KIP ST, 19134","(39.9986724299,-75.1259919122)",SIDEWALK,$41.00,POLICE,"(39.9986724299, -75.1259919122)"
05/21/2012 02:10:00 PM,PA,1674683,25,300 E WESTMO,,,PRIVATE PROPERTY,$26.00,POLICE,
06/11/2012 08:55:00 AM,VN,1762926,25,3341 GERMANT,"3341 GERMANTOWN AVE, 19140","(40.0033119262,-75.1489884854)",BLOCKING DRIVEWAY,$41.00,POLICE,"(40.0033119262, -75.1489884854)"
06/13/2012 01:22:00 PM,PA,1142019,25,150 W LUZERN,,,FIRE HYDRANT,$51.00,POLICE,
10/17/2013 09:05:00 PM,PA,1361360,05,1650 W BERKS,"1650 W BERKS ST, 19121","(39.9822769092,-75.1616549458)",CROSSWALK,$51.00,TEMPLE,"(39.9822769092, -75.1616549458)"
10/17/2013 09:00:00 PM,NJ,434484,22,1857 N 17TH,"1857 N 17TH ST, 19121","(39.9815844431,-75.1622071845)",FIRE HYDRANT,$76.00,TEMPLE,"(39.9815844431, -75.1622071845)"
10/18/2013 09:30:00 PM,PA,1039254,05,1901 N 17TH,"1901 N 17TH ST, 19121","(39.9825902453,-75.1619947374)",FIRE HYDRANT,$76.00,TEMPLE,"(39.9825902453, -75.1619947374)"
07/01/2014 09:30:00 AM,NJ,308099,00,1115 POLLETT,"1115 POLETT WALK, 19122","(39.981106564,-75.1527121094)",PARKING PROHBITED,$41.00,TEMPLE,"(39.981106564, -75.1527121094)"
09/12/2014 02:20:00 PM,PA,982998,05,,,,BLOCKING DRIVEWAY,$51.00,POLICE,
10/01/2014 09:45:00 AM,PA,766760,00,1700 N 13TH,"1700 N 13TH ST, 19122","(39.9791548298,-75.1555563854)",CORNER CLEARANCE,$51.00,TEMPLE,"(39.9791548298, -75.1555563854)"
10/17/2014 11:00:00 AM,VA,1722641,05,1750 N 13TH,"1750 N 13TH ST, 19122","(39.9791548298,-75.1555563854)",PARKING PROHBITED,$41.00,TEMPLE,"(39.9791548298, -75.1555563854)"
10/17/2014 12:41:00 PM,NJ,336599,05,1300 C B MOO,,,CORNER CLEARANCE,$51.00,TEMPLE,
10/24/2014 10:15:00 AM,CT,19443,05,1600 PARK AV,"1600 N PARK AVE, 19122","(39.9778105379,-75.1568961473)",CORNER CLEARANCE,$51.00,TEMPLE,"(39.9778105379, -75.1568961473)"
10/31/2014 09:50:00 AM,PA,819976,22,1600 N 13TH,"1600 N 13TH ST, 19122","(39.9776834008,-75.155852371)",CORNER CLEARANCE,$51.00,TEMPLE,"(39.9776834008, -75.155852371)"
10/31/2014 09:55:00 AM,PA,580381,22,1200 CB MOOR,,,CORNER CLEARANCE,$51.00,TEMPLE,
12/10/2014 01:25:00 PM,PA,500502,05,1600 N 13TH,"1600 N 13TH ST, 19122","(39.9776834008,-75.155852371)",CORNER CLEARANCE,$51.00,POLICE,"(39.9776834008, -75.155852371)"
12/10/2014 01:45:00 PM,PA,655730,05,1200 CB MOOR,,,CORNER CLEARANCE,$51.00,POLICE,
12/11/2014 10:20:00 AM,PA,1384855,05,1300 CB MOOR,,,CORNER CLEARANCE,$51.00,PENN,
12/11/2014 10:30:00 AM,PA,1047461,05,1800 N 15TH,"1800 N 15TH ST, 19121","(39.9811764942,-75.159057818)",BLOCKING DRIVEWAY,$51.00,PENN,"(39.9811764942, -75.159057818)"
12/11/2014 10:30:00 AM,MD,142020,05,1800 N 15TH,"1800 N 15TH ST, 19121","(39.9811764942,-75.159057818)",PARKING PROHBITED,$41.00,PENN,"(39.9811764942, -75.159057818)"
12/11/2014 10:30:00 AM,PA,1437977,05,1800 N 15TH,"1800 N 15TH ST, 19121","(39.9811764942,-75.159057818)",PARKING PROHBITED,$41.00,PENN,"(39.9811764942, -75.159057818)"
12/11/2014 11:15:00 AM,PA,1417743,05,1600 N 10TH,"1600 N 10TH ST, 19122","(39.9767631804,-75.1512213075)",SIDEWALK,$51.00,PENN,"(39.9767631804, -75.1512213075)"
01/20/2012 11:04:00 AM,PA,533871,,2700 WESTMOR,,,STOPPING PROHIBITED,$51.00,PPA,
01/20/2012 11:07:00 AM,PA,942706,,2700 ALLEGHE,,,SIDEWALK,$51.00,PPA,
01/20/2012 11:12:00 AM,PA,1146996,,2500 ALLEGHE,,,FIRE HYDRANT,$76.00,PPA,
01/20/2012 11:15:00 AM,PA,534887,,2300 ALLEGHE,,,FIRE HYDRANT,$76.00,PPA,
01/20/2012 11:20:00 AM,PA,780700,,2000 ALLEGHE,,,FIRE HYDRANT,$76.00,PPA,
01/20/2012 11:23:00 AM,PA,918333,,1900 E ALLEG,,,EXPIRED INSPECTION,$41.00,PPA,
01/20/2012 11:36:00 AM,PA,777491,,200 E ERIE,"200 E ERIE AVE, 19134","(40.0073292782,-75.124303372)",STOPPING PROHIBITED,$51.00,PPA,"(40.0073292782, -75.124303372)"
01/20/2012 11:43:00 AM,PA,810420,,5100 C ST,"5100 C ST, 19120","(40.0271866176,-75.1173709284)",EXPIRED INSPECTION,$41.00,PPA,"(40.0271866176, -75.1173709284)"
01/20/2012 11:47:00 AM,PA,1634879,,400 ASHDALE,"400 W ASHDALE ST, 19120","(40.0279026692,-75.1314152616)",EXPIRED INSPECTION,$41.00,PPA,"(40.0279026692, -75.1314152616)"
01/20/2012 11:59:00 AM,PA,982322,,6400 LORETTO,"6400 LORETTO AVE, 19111","(40.0405172861,-75.0787039487)",EXPIRED INSPECTION,$41.00,PPA,"(40.0405172861, -75.0787039487)"
01/20/2012 12:11:00 PM,PA,1039488,,6400 RISING,,,METER EXPIRED,$26.00,PPA,
01/20/2012 12:24:00 PM,PA,1574759,,7200 RISING,,,STOPPING PROHIBITED,$51.00,PPA,
01/20/2012 12:49:00 PM,PA,676374,,1500 PRINCET,,,IMPROPER ON 2WAY HWY,$31.00,PPA,
01/20/2012 12:54:00 PM,PA,1145309,,2000 UNRUH,"2000 UNRUH AVE, 19149","(40.039858629,-75.0679264943)",IMPROPER ON 2WAY HWY,$31.00,PPA,"(40.039858629, -75.0679264943)"
01/20/2012 12:57:00 PM,PA,947776,,2000 UNRUH,"2000 UNRUH AVE, 19149","(40.039858629,-75.0679264943)",EXPIRED INSPECTION,$41.00,PPA,"(40.039858629, -75.0679264943)"
